Time,Light,Sound,Engagement
7390,224.0,46.1,Somewhat
7400,224.0,42.0,No
7410,224.0,46.5,Somewhat
7420,224.0,48.4,Somewhat
7430,223.0,44.6,Somewhat
7440,223.0,46.7,Somewhat
7450,224.0,50.1,Somewhat
7460,223.0,44.8,Yes
7470,223.0,40.8,Somewhat
7480,224.0,47.2,Somewhat
7490,224.0,46.5,Somewhat
7500,225.0,49.6,Somewhat
7510,224.0,50.0,Somewhat
7520,224.0,49.5,Somewhat
7530,225.0,47.2,Somewhat
7540,223.0,42.9,Somewhat
7550,223.0,35.0,Somewhat
7560,224.0,41.9,Somewhat
7570,223.0,51.1,Somewhat
7580,223.0,47.3,Somewhat
7590,223.0,49.5,Yes
7600,223.0,47.3,Yes
7610,223.0,42.7,Yes
7620,223.0,46.3,Yes
7630,223.0,48.6,Yes
7640,223.0,44.1,Yes
7650,223.0,47.4,Somewhat
7660,223.0,33.2,Somewhat
7670,223.0,41.8,Yes
7680,223.0,50.5,Somewhat
7690,223.0,50.1,Somewhat
7700,219.0,35.6,Somewhat
7710,218.0,48.4,Somewhat
7720,218.0,52.3,Yes
7730,217.0,49.1,Somewhat
7740,217.0,45.7,Yes
7750,223.0,44.5,Somewhat
7760,223.0,47.5,Somewhat
7770,223.0,40.2,Yes
7780,223.0,44.7,Somewhat
7790,223.0,48.0,Somewhat
7800,223.0,47.3,Yes
7810,222.0,40.5,Yes
7820,223.0,48.2,Yes
7830,223.0,51.5,Somewhat
7840,223.0,48.8,Somewhat
7850,223.0,51.3,Somewhat
7860,223.0,39.9,Yes
7870,223.0,46.5,Somewhat
7880,223.0,50.8,Somewhat
7890,223.0,49.9,Somewhat
7900,223.0,38.2,Somewhat
7910,223.0,49.9,Somewhat
7920,223.0,49.3,Yes
7930,223.0,51.5,Somewhat
7940,223.0,47.9,Somewhat
7950,223.0,50.3,Somewhat
7960,224.0,44.9,Somewhat
7970,223.0,44.8,Yes
7980,223.0,43.6,Yes
7990,223.0,50.0,Somewhat
8000,224.0,47.0,Somewhat
8010,223.0,52.2,Yes
8020,223.0,41.8,Yes
8030,223.0,45.9,Yes
8040,221.0,47.1,Yes
8050,223.0,47.3,Yes
8060,223.0,44.5,Somewhat
8070,223.0,49.2,Somewhat
8080,224.0,45.9,Somewhat
8090,223.0,45.2,Somewhat
8100,223.0,42.7,Somewhat
8110,215.0,59.4,Somewhat
8120,204.0,48.6,Somewhat
8130,194.0,55.9,Somewhat
8140,156.0,56.9,Somewhat
8150,188.0,56.7,Yes
8160,191.0,46.0,Yes
8170,175.0,50.4,Somewhat
8180,197.0,59.2,Somewhat
8190,204.0,54.5,Somewhat
8200,204.0,58.8,Somewhat
8210,204.0,57.0,Somewhat
8220,204.0,54.2,Somewhat
8230,204.0,58.8,Somewhat
8240,204.0,54.2,Somewhat
8250,204.0,48.2,Somewhat
8260,204.0,51.4,Somewhat
8270,203.0,56.2,Somewhat
8280,191.0,53.3,Somewhat
8290,204.0,50.6,Somewhat
8300,204.0,47.8,Somewhat
8310,204.0,50.4,Somewhat
8320,204.0,37.3,Somewhat
8330,204.0,54.3,Somewhat
8340,204.0,54.7,Somewhat
8350,204.0,57.3,Somewhat
8360,203.0,54.2,Somewhat
8370,204.0,58.3,Somewhat
8380,204.0,48.5,Somewhat
8390,204.0,54.3,Somewhat
8400,204.0,55.4,Somewhat
8410,204.0,53.7,Somewhat
8420,204.0,54.9,Somewhat
8430,204.0,56.9,Somewhat
8440,204.0,48.3,Yes
8450,204.0,43.0,Yes
8460,204.0,41.3,Yes
8470,204.0,52.5,Yes
8480,204.0,42.7,Somewhat
8490,204.0,48.7,Yes
8500,204.0,51.6,Yes
8510,204.0,39.6,Yes
8520,204.0,45.2,Yes
8530,203.0,45.0,Yes
8540,203.0,42.4,Yes
8550,203.0,36.4,Yes
8560,204.0,41.6,Yes
8570,204.0,32.0,Somewhat
8580,203.0,32.8,Somewhat
8590,202.0,36.6,Yes
