sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
234.0;48.743;229026;2019-04-02 13:38:16:277
234.0;47.767;229525;2019-04-02 13:38:16:776
234.0;33.437;230026;2019-04-02 13:38:17:277
234.0;56.213;230525;2019-04-02 13:38:17:776
234.0;58.994;231025;2019-04-02 13:38:18:276
234.0;54.83;231525;2019-04-02 13:38:18:776
234.0;45.064;232025;2019-04-02 13:38:19:276
234.0;41.497;232525;2019-04-02 13:38:19:776
234.0;32.255;233025;2019-04-02 13:38:20:276
234.0;49.088;233525;2019-04-02 13:38:20:776
234.0;43.551;234025;2019-04-02 13:38:21:276
234.0;45.544;234525;2019-04-02 13:38:21:776
234.0;53.512;235025;2019-04-02 13:38:22:276
234.0;56.234;235525;2019-04-02 13:38:22:776
234.0;55.43;236026;2019-04-02 13:38:23:277
234.0;52.003;236526;2019-04-02 13:38:23:777
234.0;44.007;237026;2019-04-02 13:38:24:277
234.0;51.69;237525;2019-04-02 13:38:24:776
234.0;55.109;238025;2019-04-02 13:38:25:276
234.0;44.529;238525;2019-04-02 13:38:25:776
234.0;56.787;239025;2019-04-02 13:38:26:276
234.0;55.517;239524;2019-04-02 13:38:26:775
234.0;52.908;240026;2019-04-02 13:38:27:277
234.0;45.721;240525;2019-04-02 13:38:27:776
234.0;55.16;241027;2019-04-02 13:38:28:278
234.0;32.638;241525;2019-04-02 13:38:28:776
234.0;47.784;242025;2019-04-02 13:38:29:276
234.0;50.971;242525;2019-04-02 13:38:29:776
234.0;42.074;243025;2019-04-02 13:38:30:276
234.0;39.953;243525;2019-04-02 13:38:30:776
234.0;53.962;244025;2019-04-02 13:38:31:276
234.0;41.397;244525;2019-04-02 13:38:31:776
234.0;48.562;245025;2019-04-02 13:38:32:276
234.0;39.372;245525;2019-04-02 13:38:32:776
234.0;51.043;246025;2019-04-02 13:38:33:276
234.0;51.053;246525;2019-04-02 13:38:33:776
234.0;47.478;247025;2019-04-02 13:38:34:276
234.0;46.899;247525;2019-04-02 13:38:34:776
234.0;31.372;248025;2019-04-02 13:38:35:276
234.0;30.669;248525;2019-04-02 13:38:35:776
234.0;55.334;249026;2019-04-02 13:38:36:277
234.0;59.72;249525;2019-04-02 13:38:36:776
234.0;56.698;250025;2019-04-02 13:38:37:276
234.0;36.842;250525;2019-04-02 13:38:37:776
234.0;37.812;251026;2019-04-02 13:38:38:277
234.0;47.812;251525;2019-04-02 13:38:38:776
234.0;43.612;252026;2019-04-02 13:38:39:277
234.0;51.347;252525;2019-04-02 13:38:39:776
234.0;48.362;253028;2019-04-02 13:38:40:279
234.0;48.657;253525;2019-04-02 13:38:40:776
234.0;42.281;254025;2019-04-02 13:38:41:276
234.0;49.412;254525;2019-04-02 13:38:41:776
234.0;40.452;255025;2019-04-02 13:38:42:276
234.0;43.751;255524;2019-04-02 13:38:42:775
234.0;31.188;256025;2019-04-02 13:38:43:276
234.0;54.898;256526;2019-04-02 13:38:43:777
234.0;51.178;257025;2019-04-02 13:38:44:276
234.0;52.854;257526;2019-04-02 13:38:44:777
234.0;49.634;258026;2019-04-02 13:38:45:277
234.0;37.345;258525;2019-04-02 13:38:45:776
234.0;32.113;259025;2019-04-02 13:38:46:276
234.0;31.109;259525;2019-04-02 13:38:46:776
234.0;56.413;260025;2019-04-02 13:38:47:276
234.0;55.12;260525;2019-04-02 13:38:47:776
234.0;52.207;261025;2019-04-02 13:38:48:276
234.0;50.699;261525;2019-04-02 13:38:48:776
